p_ji,acc
0.05,0.0
0.075,0.0
0.1,0.011049723756906077
0.125,0.03579486654835778
0.15,0.03046983597442313
0.175,0.03598182485601603
0.2,0.05765026729457381
0.22499999999999998,0.12146629388008699
0.25,0.10303410755388158
0.27499999999999997,0.3470319634703196
0.3,0.7009803921568628
0.32499999999999996,0.5824175824175825
0.35,0.75
0.37499999999999994,0.8888888888888888
0.39999999999999997,1.0
0.42499999999999993,1.0
0.44999999999999996,1.0
0.475,1.0
0.49999999999999994,1.0
0.525,1.0
0.5499999999999999,1.0
0.575,1.0
0.6,1.0
0.625,1.0
0.65,1.0
0.675,1.0
0.7,1.0
0.725,1.0
0.75,1.0
0.775,1.0
0.7999999999999999,1.0
0.825,1.0
0.85,1.0
0.875,1.0
0.9,1.0
0.9249999999999999,1.0
0.95,1.0
0.975,1.0
1.0,1.0
