p_ji,acc
0.05,0.0
0.075,0.01564840534605372
0.1,0.01794671978158217
0.125,0.03269492162086806
0.15,0.2801490514905149
0.175,0.08128794246754459
0.2,0.09715389657432642
0.22499999999999998,0.611111111111111
0.25,0.4877511698320947
0.27499999999999997,0.5761904761904763
0.3,0.9047619047619048
0.32499999999999996,1.0
0.35,1.0
0.37499999999999994,1.0
0.39999999999999997,1.0
0.42499999999999993,1.0
0.44999999999999996,1.0
0.475,1.0
0.49999999999999994,1.0
0.525,1.0
0.5499999999999999,1.0
0.575,1.0
0.6,1.0
0.625,1.0
0.65,1.0
0.675,1.0
0.7,1.0
0.725,1.0
0.75,1.0
0.775,1.0
0.7999999999999999,1.0
0.825,1.0
0.85,1.0
0.875,1.0
0.9,1.0
0.9249999999999999,1.0
0.95,1.0
0.975,1.0
1.0,1.0
